time_start,time_end,ft_abv_grnd,RIL_63_height_13.2_avg_PAR,RIL_73_height_10.5_avg_PAR,RIL_63_avg_temp_Celsius,RIL_63_avg_relative_humidity,RIL_73_avg_temp_Celsius,RIL_73_avg_relative_humidity,avg_abv_PAR
12:37:40 PM,12:40:40 PM,1,12.8500,112.5000,34.0728,55.9,32.7278,59.2,0.0000
12:41:40 PM,12:44:40 PM,3,132.1500,113.1500,33.51125,52.825,32.5915,54.225,0.0000
12:46:05 PM,12:48:05 PM,4,65.0500,163.3000,33.35225,51.125,32.6835,55.15,0.0000
12:49:00 PM,12:52:00 PM,5,57.3000,192.4500,33.5214,51.98,32.9882,53,0.0000
12:55:15 PM,12:58:15 PM,6,139.9500,540.7000,33.844,50,33.2098,53.4,2073.8000
12:29:30 PM,01:02:30 PM,7,206.4667,620.8333,34.1282,49.6,33.8492,50.6,2123.3667
01:07:40 PM,01:10:40 PM,8,487.9500,1062.4500,34.0456,50.56,34.3412,51.78,2171.7500
01:11:30 PM,01:14:40 PM,9,516.6000,1221.1333,34.2376,46.42,34.8124,47.04,2126.1333
01:16:10 PM,01:20:10 PM,10,816.8000,1647.8667,34.7022,48.54,35.5146,47.38,2129.9000
01:21:45 PM,01:24:25 PM,11,1032.8500,2192.8500,35.1662,48.52,35.8376,48.8,2137.1000
01:26:24 PM,01:29:25 PM,12,1561.3000,2185.4500,35.2728,48.12,35.3706,49.36,2135.7500
01:31:36 PM,01:34:36 PM,13,2005.2000,2114.7333,35.438,46.18,35.0376,47.92,2106.1667
01:39:26 PM,01:43:00 PM,14,2013.1333,2109.1667,35.6622,48.1,34.7798,52.02,2081.0000
