RIL,Rep,Leaf,Area,Subtotal,Max Width,Average Width,Length,Angle (degrees),distance to next leaf (inches),diameter of stem (mm),height (inches),dry weight (g)
63,9,3,367.837,18138.596,24.1,3.7,100.2,14,10,13,,
63,9,4,364.029,18502.623,24.1,3.4,107.2,13,10,15,,
63,9,5,360.152,18862.775,21.5,3.5,103.8,12,7.5,15,,
63,9,6,366.778,19229.555,20.9,3.4,107.5,11,10,14,,
63,9,7,374.077,19603.633,23.3,3.7,102.1,14,7.5,13,,
63,9,8,445.399,20049.031,22.4,3.6,124.9,17,10,14,,
63,9,9,498.779,20547.812,24.5,4.1,120.6,17,11,15,,
63,9,10,506.577,21054.389,22.8,4,125.5,15,11,15,,
63,9,11,462.932,21517.32,21.9,3.7,125.5,20,,,,
63,10,1,340.171,21857.492,21.9,3.3,103.4,9,1.5,9,127,107.19
63,10,2,343.3,22200.793,22.4,3.7,93.2,10,8,11,,
63,10,3,339.209,22540,22.1,3.2,105,10,10.2,12,,
63,10,4,332.109,22872.107,22.9,3.2,105.3,15,9,12,,
63,10,5,315.179,23187.287,22.9,3,105.6,15,10,13,,
63,10,6,332.647,23519.936,23.5,3.2,102.9,15,10,13,,
63,10,7,369.346,23889.281,24.7,3.1,118.8,15,10,14,,
63,10,8,411.392,24300.674,24.6,3.8,108.4,14,13,13,,
63,10,9,494.053,24794.729,21.4,3.7,133.9,18,11,15,,
63,10,10,473.37,25268.098,23,3.8,123.4,22,,,,
73,1,1,364.984,20151.996,22.9,3.9,93.7,20,2,10,108,98.87
73,1,2,367.934,20519.93,20.9,3.8,97.9,20,8,14,,
73,1,3,393.433,20913.363,19.6,3.6,108.6,25,10,15,,
73,1,4,404.898,21318.262,24,3.5,116.6,25,10,14,,
73,1,5,425.956,21744.219,24.5,3.7,114.1,25,8.5,15,,
73,1,6,400.737,22144.955,24.5,3.3,122.8,30,11,15,,
73,1,7,439.055,22584.012,22.5,3.3,134.5,35,10,15,,
73,1,8,409.325,22993.336,24.1,3.2,127.9,35,9,16,,
73,1,9,387.422,23380.758,24.5,2.8,140.2,50,,,,
73,2,1,405.973,23786.732,22.7,3.7,109.2,20,1.5,10,101,105.41
73,2,2,388.393,24175.123,19.5,4,97.4,26,6.5,11,,
73,2,3,409.894,24585.018,24.3,4.2,97.8,25,8,14,,
73,2,4,432.062,25017.08,24.5,4.2,102.4,30,10,16,,
73,2,5,438.153,25455.232,24.2,4.1,106.7,35,7.5,16,,
73,2,6,448.816,25904.049,24.1,4.1,110.5,35,10,17,,
73,2,7,476.282,26380.33,22.4,4,119,60,8,17,,
73,2,8,449.568,26829.898,24.9,3.9,115.5,90,,,,
73,3,1,417.291,27247.188,24.7,4.4,94,20,3,12,101,128.21
73,3,2,417.952,27665.141,17.5,4.3,96,25,6,14,,
73,3,3,397.448,28062.588,22.9,4.1,97.3,30,7.5,15,,
73,3,4,392.211,28454.801,23.3,4,97.5,30,8,16,,
73,3,5,395.182,28849.982,22.6,3.8,102.8,27,7,16,,
73,3,6,398.962,29248.943,21.7,4.1,98.4,40,9,17,,
73,3,7,391.774,29640.719,23.5,3.9,100.9,60,8,17,,
73,3,8,441.697,30082.416,24.1,4,109.2,50,,,,
73,4,1,373.893,30456.309,18.2,3.7,101,15,1,11,111,126.4
