,Time,1,2,3,4
S/N,,720479,720479,720479,720479
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception #2,Light Interception #2,Light Interception #2,Light Interception #2
Property,,Maximum Temperature,Temperature,Maximum Humidity,Humidity
340,2014-07-23 15:32:30,36.273 °C,36.273 °C,45.5 %RH,42.6 %RH
341,2014-07-23 15:33:00,36.294 °C,36.294 °C,45.5 %RH,45.5 %RH
342,2014-07-23 15:33:30,36.318 °C,36.310 °C,46.3 %RH,45.3 %RH
343,2014-07-23 15:34:00,36.313 °C,36.299 °C,45.0 %RH,45.0 %RH
344,2014-07-23 15:34:30,36.304 °C,36.269 °C,48.6 %RH,48.6 %RH
345,2014-07-23 15:35:00,36.269 °C,36.217 °C,48.6 %RH,44.1 %RH
346,2014-07-23 15:35:30,36.217 °C,36.193 °C,46.6 %RH,45.0 %RH
347,2014-07-23 15:36:00,36.194 °C,36.191 °C,44.8 %RH,43.6 %RH
348,2014-07-23 15:36:30,36.191 °C,36.178 °C,43.3 %RH,42.9 %RH
349,2014-07-23 15:37:00,36.178 °C,36.162 °C,43.8 %RH,43.1 %RH
350,2014-07-23 15:37:30,36.165 °C,36.151 °C,44.1 %RH,42.9 %RH
351,2014-07-23 15:38:00,36.154 °C,36.151 °C,44.1 %RH,43.8 %RH
352,2014-07-23 15:38:30,36.152 °C,36.128 °C,54.5 %RH,48.3 %RH
353,2014-07-23 15:39:00,36.123 °C,36.040 °C,49.6 %RH,48.6 %RH
354,2014-07-23 15:39:30,36.038 °C,35.962 °C,50.4 %RH,50.4 %RH
355,2014-07-23 15:40:00,35.959 °C,35.913 °C,52.2 %RH,50.9 %RH
356,2014-07-23 15:40:30,35.915 °C,35.889 °C,50.4 %RH,45.5 %RH
357,2014-07-23 15:41:00,35.891 °C,35.871 °C,47.1 %RH,46.8 %RH
358,2014-07-23 15:41:30,35.870 °C,35.847 °C,48.3 %RH,48.1 %RH
359,2014-07-23 15:42:00,35.847 °C,35.821 °C,48.1 %RH,46.8 %RH
360,2014-07-23 15:42:30,35.821 °C,35.811 °C,47.8 %RH,47.1 %RH
361,2014-07-23 15:43:00,35.810 °C,35.793 °C,47.3 %RH,46.1 %RH
362,2014-07-23 15:43:30,35.795 °C,35.769 °C,47.6 %RH,47.3 %RH
363,2014-07-23 15:44:00,35.764 °C,35.716 °C,47.8 %RH,46.8 %RH
364,2014-07-23 15:44:30,35.713 °C,35.648 °C,48.1 %RH,47.6 %RH
365,2014-07-23 15:45:00,35.646 °C,35.580 °C,48.6 %RH,47.1 %RH
366,2014-07-23 15:45:30,35.578 °C,35.522 °C,47.6 %RH,47.6 %RH
367,2014-07-23 15:46:00,35.520 °C,35.470 °C,48.6 %RH,46.8 %RH
368,2014-07-23 15:46:30,35.467 °C,35.422 °C,47.3 %RH,47.1 %RH
369,2014-07-23 15:47:00,35.419 °C,35.377 °C,47.8 %RH,47.8 %RH
370,2014-07-23 15:47:30,35.375 °C,35.345 °C,48.6 %RH,46.6 %RH
371,2014-07-23 15:48:00,35.345 °C,35.327 °C,46.6 %RH,45.0 %RH
372,2014-07-23 15:48:30,35.330 °C,35.313 °C,45.8 %RH,45.3 %RH
373,2014-07-23 15:49:00,35.321 °C,35.293 °C,47.3 %RH,47.3 %RH
374,2014-07-23 15:49:30,35.292 °C,35.253 °C,49.1 %RH,49.1 %RH
375,2014-07-23 15:50:00,35.256 °C,35.203 °C,50.4 %RH,47.6 %RH
376,2014-07-23 15:50:30,35.202 °C,35.137 °C,47.3 %RH,46.3 %RH
377,2014-07-23 15:51:00,35.137 °C,35.078 °C,46.1 %RH,45.0 %RH
378,2014-07-23 15:51:30,35.075 °C,35.023 °C,46.1 %RH,45.8 %RH
379,2014-07-23 15:52:00,35.030 °C,34.993 °C,49.1 %RH,49.1 %RH
380,2014-07-23 15:52:30,34.996 °C,34.972 °C,50.1 %RH,46.6 %RH
381,2014-07-23 15:53:00,34.979 °C,34.963 °C,46.1 %RH,46.1 %RH
382,2014-07-23 15:53:30,34.959 °C,34.947 °C,48.9 %RH,48.1 %RH
383,2014-07-23 15:54:00,34.945 °C,34.923 °C,48.6 %RH,47.6 %RH
384,2014-07-23 15:54:30,34.923 °C,34.886 °C,49.1 %RH,48.3 %RH
385,2014-07-23 15:55:00,34.883 °C,34.827 °C,49.4 %RH,48.1 %RH
386,2014-07-23 15:55:30,34.827 °C,34.763 °C,48.1 %RH,47.6 %RH
387,2014-07-23 15:56:00,34.763 °C,34.707 °C,50.6 %RH,49.9 %RH
388,2014-07-23 15:56:30,34.705 °C,34.662 °C,50.4 %RH,48.1 %RH
389,2014-07-23 15:57:00,34.659 °C,34.621 °C,52.4 %RH,52.4 %RH
390,2014-07-23 15:57:30,34.621 °C,34.579 °C,52.2 %RH,49.1 %RH
391,2014-07-23 15:58:00,34.573 °C,34.544 °C,52.2 %RH,48.9 %RH
392,2014-07-23 15:58:30,34.541 °C,34.506 °C,51.4 %RH,50.6 %RH
393,2014-07-23 15:59:00,34.506 °C,34.466 °C,50.4 %RH,49.6 %RH
394,2014-07-23 15:59:30,34.466 °C,34.431 °C,49.4 %RH,49.1 %RH
395,2014-07-23 16:00:00,34.429 °C,34.394 °C,55.7 %RH,55.7 %RH
396,2014-07-23 16:00:30,34.391 °C,34.348 °C,56.0 %RH,55.7 %RH
397,2014-07-23 16:01:00,34.345 °C,34.280 °C,55.5 %RH,55.5 %RH
398,2014-07-23 16:01:30,34.272 °C,34.204 °C,56.2 %RH,55.5 %RH
399,2014-07-23 16:02:00,34.199 °C,34.124 °C,56.5 %RH,56.5 %RH
400,2014-07-23 16:02:30,34.121 °C,34.052 °C,56.5 %RH,55.5 %RH
401,2014-07-23 16:03:00,34.048 °C,33.982 °C,56.5 %RH,55.7 %RH
402,2014-07-23 16:03:30,33.980 °C,33.914 °C,56.5 %RH,55.7 %RH
403,2014-07-23 16:04:00,33.912 °C,33.849 °C,56.8 %RH,56.5 %RH
404,2014-07-23 16:04:30,33.849 °C,33.783 °C,57.8 %RH,57.5 %RH
405,2014-07-23 16:05:00,33.781 °C,33.723 °C,57.8 %RH,56.2 %RH
406,2014-07-23 16:05:30,33.720 °C,33.657 °C,58.3 %RH,58.3 %RH
407,2014-07-23 16:06:00,33.652 °C,33.598 °C,59.1 %RH,57.8 %RH
408,2014-07-23 16:06:30,33.594 °C,33.535 °C,57.5 %RH,57.3 %RH
409,2014-07-23 16:07:00,33.534 °C,33.474 °C,58.0 %RH,56.2 %RH
410,2014-07-23 16:07:30,33.476 °C,33.424 °C,58.0 %RH,57.3 %RH
411,2014-07-23 16:08:00,33.422 °C,33.375 °C,58.8 %RH,58.6 %RH
412,2014-07-23 16:08:30,33.372 °C,33.326 °C,59.9 %RH,57.8 %RH
413,2014-07-23 16:09:00,33.325 °C,33.281 °C,58.3 %RH,58.3 %RH
414,2014-07-23 16:09:30,33.281 °C,33.232 °C,58.6 %RH,58.3 %RH
415,2014-07-23 16:10:00,33.232 °C,33.187 °C,58.8 %RH,58.6 %RH
416,2014-07-23 16:10:30,33.185 °C,33.144 °C,58.6 %RH,57.0 %RH
417,2014-07-23 16:11:00,33.143 °C,33.108 °C,60.2 %RH,60.2 %RH
418,2014-07-23 16:11:30,33.108 °C,33.104 °C,60.7 %RH,52.4 %RH
419,2014-07-23 16:12:00,33.137 °C,33.137 °C,52.2 %RH,49.9 %RH
420,2014-07-23 16:12:30,33.235 °C,33.235 °C,50.4 %RH,49.9 %RH
421,2014-07-23 16:13:00,33.358 °C,33.358 °C,49.9 %RH,47.3 %RH
422,2014-07-23 16:13:30,33.450 °C,33.450 °C,49.9 %RH,48.3 %RH
423,2014-07-23 16:14:00,33.600 °C,33.600 °C,49.6 %RH,48.3 %RH
424,2014-07-23 16:14:30,33.792 °C,33.792 °C,49.1 %RH,47.8 %RH
425,2014-07-23 16:15:00,33.950 °C,33.950 °C,50.1 %RH,50.1 %RH
426,2014-07-23 16:15:30,34.110 °C,34.109 °C,50.4 %RH,45.8 %RH
427,2014-07-23 16:16:00,34.270 °C,34.270 °C,46.8 %RH,46.8 %RH
428,2014-07-23 16:16:30,34.406 °C,34.406 °C,48.1 %RH,45.5 %RH
429,2014-07-23 16:17:00,34.528 °C,34.528 °C,48.3 %RH,48.3 %RH
430,2014-07-23 16:17:30,34.609 °C,34.609 °C,48.3 %RH,47.8 %RH
431,2014-07-23 16:18:00,34.657 °C,34.656 °C,49.6 %RH,49.1 %RH
432,2014-07-23 16:18:30,34.692 °C,34.692 °C,49.9 %RH,47.8 %RH
433,2014-07-23 16:19:00,34.708 °C,34.702 °C,48.6 %RH,48.6 %RH
434,2014-07-23 16:19:30,34.737 °C,34.737 °C,48.9 %RH,48.1 %RH
435,2014-07-23 16:20:00,34.791 °C,34.791 °C,48.6 %RH,46.8 %RH
436,2014-07-23 16:20:30,34.851 °C,34.851 °C,47.8 %RH,47.1 %RH
437,2014-07-23 16:21:00,34.913 °C,34.913 °C,48.6 %RH,47.8 %RH
438,2014-07-23 16:21:30,35.044 °C,35.044 °C,48.1 %RH,45.5 %RH
439,2014-07-23 16:22:00,35.192 °C,35.190 °C,46.8 %RH,45.5 %RH
440,2014-07-23 16:22:30,35.276 °C,35.274 °C,47.3 %RH,47.3 %RH
441,2014-07-23 16:23:00,35.361 °C,35.361 °C,48.9 %RH,48.9 %RH
442,2014-07-23 16:23:30,35.496 °C,35.496 °C,49.6 %RH,46.6 %RH
443,2014-07-23 16:24:00,35.630 °C,35.630 °C,46.8 %RH,45.5 %RH
444,2014-07-23 16:24:30,35.745 °C,35.745 °C,48.1 %RH,47.6 %RH
445,2014-07-23 16:25:00,35.782 °C,35.782 °C,47.6 %RH,47.6 %RH
446,2014-07-23 16:25:30,35.782 °C,35.769 °C,48.3 %RH,47.6 %RH
447,2014-07-23 16:26:00,35.768 °C,35.730 °C,56.2 %RH,56.2 %RH
448,2014-07-23 16:26:30,35.734 °C,35.669 °C,57.8 %RH,57.8 %RH
449,2014-07-23 16:27:00,35.669 °C,35.599 °C,60.2 %RH,58.3 %RH
450,2014-07-23 16:27:30,35.598 °C,35.530 °C,57.0 %RH,51.7 %RH
451,2014-07-23 16:28:00,35.525 °C,35.512 °C,65.8 %RH,55.0 %RH
452,2014-07-23 16:28:30,35.624 °C,35.624 °C,54.2 %RH,50.1 %RH
453,2014-07-23 16:29:00,35.949 °C,35.949 °C,50.1 %RH,43.8 %RH
454,2014-07-23 16:29:30,36.684 °C,36.684 °C,44.3 %RH,39.9 %RH
455,2014-07-23 16:30:00,37.661 °C,37.661 °C,40.2 %RH,34.6 %RH
456,2014-07-23 16:30:30,38.652 °C,38.652 °C,35.1 %RH,34.3 %RH
457,2014-07-23 16:31:00,39.601 °C,39.601 °C,34.3 %RH,33.1 %RH
458,2014-07-23 16:31:30,40.499 °C,40.499 °C,33.1 %RH,32.4 %RH
459,2014-07-23 16:32:00,41.337 °C,41.337 °C,32.4 %RH,30.6 %RH
460,2014-07-23 16:32:30,41.912 °C,41.912 °C,33.9 %RH,33.9 %RH
461,2014-07-23 16:33:00,42.300 °C,42.300 °C,34.3 %RH,32.2 %RH
462,2014-07-23 16:33:30,42.786 °C,42.786 °C,32.4 %RH,30.1 %RH
463,2014-07-23 16:34:00,43.353 °C,43.353 °C,30.8 %RH,29.9 %RH
464,2014-07-23 16:34:30,43.980 °C,43.980 °C,30.3 %RH,27.1 %RH
465,2014-07-23 16:35:00,44.540 °C,44.540 °C,28.5 %RH,28.3 %RH
466,2014-07-23 16:35:30,44.975 °C,44.975 °C,29.9 %RH,29.6 %RH
467,2014-07-23 16:36:00,45.050 °C,44.955 °C,35.6 %RH,35.6 %RH
468,2014-07-23 16:36:30,44.947 °C,44.685 °C,35.8 %RH,35.8 %RH
469,2014-07-23 16:37:00,44.676 °C,44.442 °C,36.3 %RH,36.3 %RH
470,2014-07-23 16:37:30,44.432 °C,44.221 °C,36.3 %RH,36.3 %RH
471,2014-07-23 16:38:00,44.212 °C,44.011 °C,36.3 %RH,36.3 %RH
472,2014-07-23 16:38:30,44.003 °C,43.816 °C,36.5 %RH,36.5 %RH
473,2014-07-23 16:39:00,43.809 °C,43.634 °C,36.8 %RH,36.5 %RH
474,2014-07-23 16:39:30,43.629 °C,43.468 °C,37.0 %RH,36.8 %RH
475,2014-07-23 16:40:00,43.463 °C,43.321 °C,37.0 %RH,37.0 %RH
476,2014-07-23 16:40:30,43.310 °C,43.181 °C,37.3 %RH,37.0 %RH
477,2014-07-23 16:41:00,43.173 °C,43.048 °C,37.5 %RH,37.3 %RH
478,2014-07-23 16:41:30,43.047 °C,42.934 °C,37.5 %RH,37.5 %RH
479,2014-07-23 16:42:00,42.929 °C,42.828 °C,37.7 %RH,37.7 %RH
480,2014-07-23 16:42:30,42.826 °C,42.732 °C,37.7 %RH,37.5 %RH
481,2014-07-23 16:43:00,42.727 °C,42.644 °C,37.7 %RH,37.5 %RH
482,2014-07-23 16:43:30,42.641 °C,42.562 °C,37.5 %RH,37.5 %RH
483,2014-07-23 16:44:00,42.558 °C,42.484 °C,37.5 %RH,37.5 %RH
484,2014-07-23 16:44:30,42.484 °C,42.420 °C,37.7 %RH,37.5 %RH
485,2014-07-23 16:45:00,42.414 °C,42.354 °C,37.7 %RH,37.5 %RH
486,2014-07-23 16:45:30,42.352 °C,42.298 °C,37.7 %RH,37.5 %RH
487,2014-07-23 16:46:00,42.295 °C,42.246 °C,37.5 %RH,37.5 %RH
488,2014-07-23 16:46:30,42.245 °C,42.193 °C,37.7 %RH,37.5 %RH
489,2014-07-23 16:47:00,42.191 °C,42.145 °C,37.7 %RH,37.5 %RH
490,2014-07-23 16:47:30,42.143 °C,42.104 °C,37.5 %RH,37.3 %RH
491,2014-07-23 16:48:00,42.100 °C,42.059 °C,37.5 %RH,37.5 %RH
492,2014-07-23 16:48:30,42.057 °C,42.015 °C,37.7 %RH,37.5 %RH
493,2014-07-23 16:49:00,42.013 °C,41.968 °C,37.7 %RH,37.5 %RH
494,2014-07-23 16:49:30,41.970 °C,41.928 °C,37.5 %RH,36.8 %RH
495,2014-07-23 16:50:00,41.928 °C,41.885 °C,36.8 %RH,36.0 %RH
496,2014-07-23 16:50:30,41.885 °C,41.848 °C,36.3 %RH,35.8 %RH
497,2014-07-23 16:51:00,41.844 °C,41.805 °C,36.0 %RH,35.6 %RH
498,2014-07-23 16:51:30,41.805 °C,41.766 °C,35.6 %RH,35.1 %RH
499,2014-07-23 16:52:00,41.768 °C,41.731 °C,35.1 %RH,34.6 %RH
500,2014-07-23 16:52:30,41.729 °C,41.692 °C,34.6 %RH,34.1 %RH
501,2014-07-23 16:53:00,41.704 °C,41.656 °C,34.3 %RH,31.7 %RH
502,2014-07-23 16:53:30,41.655 °C,41.617 °C,31.5 %RH,29.4 %RH
503,2014-07-23 16:54:00,41.617 °C,41.579 °C,30.8 %RH,29.4 %RH
504,2014-07-23 16:54:30,41.577 °C,41.538 °C,29.6 %RH,28.3 %RH
505,2014-07-23 16:55:00,41.542 °C,41.501 °C,28.5 %RH,24.3 %RH
506,2014-07-23 16:55:30,41.496 °C,41.455 °C,24.1 %RH,22.2 %RH
507,2014-07-23 16:56:00,41.459 °C,41.413 °C,22.2 %RH,21.8 %RH
508,2014-07-23 16:56:30,41.413 °C,41.371 °C,21.8 %RH,21.1 %RH
509,2014-07-23 16:57:00,41.371 °C,41.332 °C,20.9 %RH,20.4 %RH
510,2014-07-23 16:57:30,41.332 °C,41.298 °C,21.1 %RH,20.6 %RH
511,2014-07-23 16:58:00,41.295 °C,41.258 °C,21.3 %RH,20.9 %RH
512,2014-07-23 16:58:30,41.255 °C,41.221 °C,21.5 %RH,21.5 %RH
513,2014-07-23 16:59:00,41.216 °C,41.177 °C,21.8 %RH,19.8 %RH
514,2014-07-23 16:59:30,41.179 °C,41.140 °C,19.8 %RH,18.4 %RH
515,2014-07-23 17:00:00,41.140 °C,41.100 °C,18.7 %RH,18.2 %RH
516,2014-07-23 17:00:30,41.102 °C,41.060 °C,18.7 %RH,18.2 %RH
517,2014-07-23 17:01:00,41.055 °C,41.013 °C,19.8 %RH,19.8 %RH
518,2014-07-23 17:01:30,41.013 °C,40.976 °C,21.1 %RH,18.9 %RH
519,2014-07-23 17:02:00,40.974 °C,40.934 °C,18.7 %RH,18.4 %RH
520,2014-07-23 17:02:30,40.934 °C,40.892 °C,20.2 %RH,20.0 %RH
521,2014-07-23 17:03:00,40.894 °C,40.850 °C,20.2 %RH,18.2 %RH
522,2014-07-23 17:03:30,40.848 °C,40.807 °C,19.1 %RH,18.9 %RH
523,2014-07-23 17:04:00,40.803 °C,40.763 °C,19.1 %RH,18.9 %RH
524,2014-07-23 17:04:30,40.761 °C,40.721 °C,19.1 %RH,18.7 %RH
525,2014-07-23 17:05:00,40.721 °C,40.674 °C,19.3 %RH,18.9 %RH
526,2014-07-23 17:05:30,40.678 °C,40.631 °C,19.5 %RH,19.5 %RH
527,2014-07-23 17:06:00,40.634 °C,40.589 °C,19.8 %RH,19.8 %RH
528,2014-07-23 17:06:30,40.587 °C,40.542 °C,21.3 %RH,21.3 %RH
529,2014-07-23 17:07:00,40.542 °C,40.500 °C,22.5 %RH,22.5 %RH
530,2014-07-23 17:07:30,40.500 °C,40.462 °C,24.8 %RH,24.8 %RH
531,2014-07-23 17:08:00,40.464 °C,40.426 °C,25.7 %RH,25.7 %RH
532,2014-07-23 17:08:30,40.426 °C,40.388 °C,25.9 %RH,25.5 %RH
533,2014-07-23 17:09:00,40.386 °C,40.351 °C,28.0 %RH,28.0 %RH
534,2014-07-23 17:09:30,40.353 °C,40.325 °C,29.2 %RH,28.9 %RH
535,2014-07-23 17:10:00,40.322 °C,40.282 °C,29.2 %RH,28.5 %RH
