,Time,1,2,3,4,5,6
S/N,,720479,720479,720479,720479,720479,720479
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception 002,Light Interception 002,Light Interception 002,Light Interception 002,Light Interception 002,Light Interception 002
Property,,Maximum Temperature,Temperature,Minimum Temperature,Maximum Humidity,Humidity,Minimum Humidity
1,2014-07-24 10:17:38,,27.393 °C,,,39.7 %RH,
2,2014-07-24 10:18:08,27.389 °C,27.295 °C,27.295 °C,43.8 %RH,43.3 %RH,39.9 %RH
3,2014-07-24 10:18:38,27.297 °C,27.226 °C,27.226 °C,42.9 %RH,39.9 %RH,39.9 %RH
4,2014-07-24 10:19:08,27.224 °C,27.141 °C,27.141 °C,40.2 %RH,40.2 %RH,39.9 %RH
5,2014-07-24 10:19:38,27.138 °C,27.075 °C,27.075 °C,39.9 %RH,39.7 %RH,39.7 %RH
6,2014-07-24 10:20:08,27.075 °C,27.035 °C,27.033 °C,39.7 %RH,39.4 %RH,39.2 %RH
7,2014-07-24 10:20:38,27.030 °C,26.999 °C,26.999 °C,39.2 %RH,39.0 %RH,39.0 %RH
8,2014-07-24 10:21:08,26.999 °C,26.972 °C,26.972 °C,39.0 %RH,39.0 %RH,38.7 %RH
9,2014-07-24 10:21:38,26.974 °C,26.952 °C,26.952 °C,39.0 %RH,38.7 %RH,38.7 %RH
10,2014-07-24 10:22:08,26.953 °C,26.934 °C,26.933 °C,38.7 %RH,38.7 %RH,38.7 %RH
11,2014-07-24 10:22:38,26.934 °C,26.915 °C,26.915 °C,38.7 %RH,38.7 %RH,38.5 %RH
12,2014-07-24 10:23:08,26.915 °C,26.894 °C,26.894 °C,38.7 %RH,38.5 %RH,38.5 %RH
13,2014-07-24 10:23:38,26.896 °C,26.876 °C,26.875 °C,38.5 %RH,38.5 %RH,38.5 %RH
14,2014-07-24 10:24:08,26.876 °C,26.854 °C,26.854 °C,38.5 %RH,38.5 %RH,38.5 %RH
15,2014-07-24 10:24:38,26.856 °C,26.833 °C,26.832 °C,38.5 %RH,38.2 %RH,38.2 %RH
16,2014-07-24 10:25:08,26.833 °C,26.811 °C,26.811 °C,38.2 %RH,38.2 %RH,38.2 %RH
17,2014-07-24 10:25:38,26.808 °C,26.788 °C,26.788 °C,38.2 %RH,38.2 %RH,38.2 %RH
18,2014-07-24 10:26:08,26.788 °C,26.761 °C,26.761 °C,38.2 %RH,38.2 %RH,38.2 %RH
19,2014-07-24 10:26:38,26.761 °C,26.736 °C,26.736 °C,38.2 %RH,38.2 %RH,38.2 %RH
20,2014-07-24 10:27:08,26.735 °C,26.709 °C,26.709 °C,38.5 %RH,38.5 %RH,38.2 %RH
21,2014-07-24 10:27:38,26.711 °C,26.684 °C,26.681 °C,38.5 %RH,38.5 %RH,38.5 %RH
22,2014-07-24 10:28:08,26.681 °C,26.655 °C,26.655 °C,38.5 %RH,38.5 %RH,38.5 %RH
23,2014-07-24 10:28:38,26.655 °C,26.627 °C,26.627 °C,38.5 %RH,38.5 %RH,38.5 %RH
24,2014-07-24 10:29:08,26.625 °C,26.594 °C,26.594 °C,38.5 %RH,38.5 %RH,38.5 %RH
25,2014-07-24 10:29:38,26.599 °C,26.566 °C,26.566 °C,38.7 %RH,38.7 %RH,38.5 %RH
26,2014-07-24 10:30:08,26.563 °C,26.532 °C,26.532 °C,38.7 %RH,38.5 %RH,38.5 %RH
27,2014-07-24 10:30:38,26.535 °C,26.504 °C,26.504 °C,38.5 %RH,38.5 %RH,38.5 %RH
28,2014-07-24 10:31:08,26.503 °C,26.472 °C,26.472 °C,38.5 %RH,38.5 %RH,38.5 %RH
29,2014-07-24 10:31:38,26.470 °C,26.439 °C,26.439 °C,38.7 %RH,38.7 %RH,38.5 %RH
30,2014-07-24 10:32:08,26.439 °C,26.406 °C,26.406 °C,38.7 %RH,38.7 %RH,38.7 %RH
31,2014-07-24 10:32:38,26.407 °C,26.375 °C,26.375 °C,38.7 %RH,38.7 %RH,38.7 %RH
32,2014-07-24 10:33:08,26.376 °C,26.342 °C,26.342 °C,38.7 %RH,38.7 %RH,38.7 %RH
33,2014-07-24 10:33:38,26.341 °C,26.310 °C,26.310 °C,39.0 %RH,39.0 %RH,38.7 %RH
34,2014-07-24 10:34:08,26.310 °C,26.276 °C,26.276 °C,39.0 %RH,38.7 %RH,38.7 %RH
35,2014-07-24 10:34:38,26.276 °C,26.244 °C,26.244 °C,38.7 %RH,38.7 %RH,38.7 %RH
36,2014-07-24 10:35:08,26.242 °C,26.211 °C,26.211 °C,39.0 %RH,39.0 %RH,38.7 %RH
37,2014-07-24 10:35:38,26.210 °C,26.177 °C,26.177 °C,39.0 %RH,39.0 %RH,39.0 %RH
38,2014-07-24 10:36:08,26.176 °C,26.145 °C,26.145 °C,39.0 %RH,39.0 %RH,39.0 %RH
39,2014-07-24 10:36:38,26.143 °C,26.108 °C,26.108 °C,39.2 %RH,39.0 %RH,39.0 %RH
40,2014-07-24 10:37:08,26.110 °C,26.076 °C,26.076 °C,39.2 %RH,39.0 %RH,38.7 %RH
41,2014-07-24 10:37:38,26.076 °C,26.045 °C,26.045 °C,39.0 %RH,39.0 %RH,39.0 %RH
42,2014-07-24 10:38:08,26.043 °C,26.010 °C,26.010 °C,39.0 %RH,39.0 %RH,39.0 %RH
43,2014-07-24 10:38:38,26.014 °C,25.979 °C,25.977 °C,39.2 %RH,39.2 %RH,39.0 %RH
44,2014-07-24 10:39:08,25.979 °C,25.949 °C,25.946 °C,39.2 %RH,39.2 %RH,39.2 %RH
45,2014-07-24 10:39:38,25.944 °C,25.911 °C,25.911 °C,39.2 %RH,39.0 %RH,39.0 %RH
46,2014-07-24 10:40:08,25.911 °C,25.882 °C,25.880 °C,39.2 %RH,39.2 %RH,39.0 %RH
47,2014-07-24 10:40:38,25.880 °C,25.848 °C,25.848 °C,39.2 %RH,39.2 %RH,39.2 %RH
48,2014-07-24 10:41:08,25.847 °C,25.817 °C,25.817 °C,39.2 %RH,39.2 %RH,39.2 %RH
49,2014-07-24 10:41:38,25.817 °C,25.783 °C,25.783 °C,39.2 %RH,39.2 %RH,39.2 %RH
50,2014-07-24 10:42:08,25.783 °C,25.753 °C,25.753 °C,39.2 %RH,39.2 %RH,39.2 %RH
51,2014-07-24 10:42:38,25.750 °C,25.720 °C,25.720 °C,39.4 %RH,39.4 %RH,39.2 %RH
52,2014-07-24 10:43:08,25.719 °C,25.691 °C,25.690 °C,39.4 %RH,39.4 %RH,39.4 %RH
53,2014-07-24 10:43:38,25.690 °C,25.657 °C,25.657 °C,39.4 %RH,39.2 %RH,39.2 %RH
54,2014-07-24 10:44:08,25.657 °C,25.626 °C,25.626 °C,39.4 %RH,39.4 %RH,39.2 %RH
55,2014-07-24 10:44:38,25.626 °C,25.596 °C,25.596 °C,39.4 %RH,39.4 %RH,39.4 %RH
56,2014-07-24 10:45:08,25.594 °C,25.565 °C,25.565 °C,39.4 %RH,39.4 %RH,39.4 %RH
57,2014-07-24 10:45:38,25.565 °C,25.537 °C,25.537 °C,39.7 %RH,39.7 %RH,39.4 %RH
58,2014-07-24 10:46:08,25.536 °C,25.508 °C,25.508 °C,39.7 %RH,39.4 %RH,39.4 %RH
59,2014-07-24 10:46:38,25.506 °C,25.477 °C,25.477 °C,39.7 %RH,39.7 %RH,39.4 %RH
60,2014-07-24 10:47:08,25.477 °C,25.448 °C,25.448 °C,39.7 %RH,39.7 %RH,39.7 %RH
61,2014-07-24 10:47:38,25.446 °C,25.417 °C,25.417 °C,39.7 %RH,39.7 %RH,39.7 %RH
62,2014-07-24 10:48:08,25.417 °C,25.388 °C,25.388 °C,39.9 %RH,39.7 %RH,39.7 %RH
63,2014-07-24 10:48:38,25.389 °C,25.363 °C,25.361 °C,39.9 %RH,39.9 %RH,39.7 %RH
64,2014-07-24 10:49:08,25.361 °C,25.333 °C,25.332 °C,39.9 %RH,39.7 %RH,39.7 %RH
65,2014-07-24 10:49:38,25.331 °C,25.303 °C,25.303 °C,39.7 %RH,39.7 %RH,39.7 %RH
66,2014-07-24 10:50:08,25.303 °C,25.275 °C,25.275 °C,39.9 %RH,39.9 %RH,39.7 %RH
67,2014-07-24 10:50:38,25.273 °C,25.250 °C,25.250 °C,39.9 %RH,39.9 %RH,39.9 %RH
68,2014-07-24 10:51:08,25.250 °C,25.230 °C,25.228 °C,39.9 %RH,39.9 %RH,39.9 %RH
69,2014-07-24 10:51:38,25.231 °C,25.203 °C,25.203 °C,39.9 %RH,39.9 %RH,39.7 %RH
70,2014-07-24 10:52:08,25.203 °C,25.178 °C,25.172 °C,39.9 %RH,39.9 %RH,39.9 %RH
71,2014-07-24 10:52:38,25.175 °C,25.145 °C,25.142 °C,39.9 %RH,39.9 %RH,39.9 %RH
72,2014-07-24 10:53:08,25.142 °C,25.111 °C,25.111 °C,40.2 %RH,40.2 %RH,39.9 %RH
73,2014-07-24 10:53:38,25.113 °C,25.095 °C,25.094 °C,40.2 %RH,40.2 %RH,40.2 %RH
74,2014-07-24 10:54:08,25.092 °C,25.063 °C,25.061 °C,40.2 %RH,39.9 %RH,39.9 %RH
75,2014-07-24 10:54:38,25.064 °C,25.039 °C,25.038 °C,40.2 %RH,40.2 %RH,39.9 %RH
76,2014-07-24 10:55:08,25.047 °C,25.016 °C,25.016 °C,40.2 %RH,40.2 %RH,40.2 %RH
77,2014-07-24 10:55:38,25.018 °C,24.997 °C,24.997 °C,40.2 %RH,40.2 %RH,40.2 %RH
78,2014-07-24 10:56:08,24.999 °C,24.971 °C,24.971 °C,40.4 %RH,40.4 %RH,40.2 %RH
79,2014-07-24 10:56:38,24.972 °C,24.946 °C,24.944 °C,40.4 %RH,40.4 %RH,40.4 %RH
80,2014-07-24 10:57:08,24.943 °C,24.918 °C,24.918 °C,40.4 %RH,40.2 %RH,40.2 %RH
81,2014-07-24 10:57:38,24.920 °C,24.895 °C,24.895 °C,40.4 %RH,40.2 %RH,40.2 %RH
82,2014-07-24 10:58:08,24.895 °C,24.873 °C,24.871 °C,40.4 %RH,40.4 %RH,40.2 %RH
83,2014-07-24 10:58:38,24.871 °C,24.851 °C,24.851 °C,40.4 %RH,40.4 %RH,40.4 %RH
84,2014-07-24 10:59:08,24.850 °C,24.828 °C,24.828 °C,40.4 %RH,40.4 %RH,40.4 %RH
85,2014-07-24 10:59:38,24.828 °C,24.804 °C,24.804 °C,40.7 %RH,40.7 %RH,40.4 %RH
86,2014-07-24 11:00:08,24.806 °C,24.782 °C,24.782 °C,40.7 %RH,40.4 %RH,40.4 %RH
87,2014-07-24 11:00:38,24.784 °C,24.762 °C,24.761 °C,40.4 %RH,40.4 %RH,40.4 %RH
88,2014-07-24 11:01:08,24.762 °C,24.742 °C,24.742 °C,40.7 %RH,40.7 %RH,40.4 %RH
89,2014-07-24 11:01:38,24.740 °C,24.720 °C,24.720 °C,40.7 %RH,40.7 %RH,40.7 %RH
