,Time,1,2,3,4
S/N,,720479,720479,720479,720479
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception #2,Light Interception #2,Light Interception #2,Light Interception #2
Property,,Maximum Temperature,Temperature,Maximum Humidity,Humidity
69,2014-07-22 13:11:57,30.572 °C,30.572 °C,58.0 %RH,57.8 %RH
70,2014-07-22 13:12:27,30.781 °C,30.781 °C,58.0 %RH,57.3 %RH
71,2014-07-22 13:12:57,30.971 °C,30.971 °C,57.5 %RH,56.5 %RH
72,2014-07-22 13:13:27,31.115 °C,31.115 °C,56.5 %RH,56.5 %RH
73,2014-07-22 13:13:57,31.241 °C,31.241 °C,57.0 %RH,57.0 %RH
74,2014-07-22 13:14:27,31.374 °C,31.374 °C,59.6 %RH,59.4 %RH
75,2014-07-22 13:14:57,31.540 °C,31.540 °C,59.4 %RH,59.1 %RH
76,2014-07-22 13:15:27,31.744 °C,31.744 °C,59.4 %RH,59.1 %RH
77,2014-07-22 13:15:57,31.951 °C,31.951 °C,59.1 %RH,58.6 %RH
78,2014-07-22 13:16:27,32.184 °C,32.184 °C,58.6 %RH,56.0 %RH
79,2014-07-22 13:16:57,32.514 °C,32.514 °C,55.7 %RH,53.7 %RH
80,2014-07-22 13:17:27,32.877 °C,32.877 °C,53.7 %RH,51.4 %RH
81,2014-07-22 13:17:57,33.176 °C,33.176 °C,51.7 %RH,51.4 %RH
82,2014-07-22 13:18:27,33.419 °C,33.419 °C,52.2 %RH,51.4 %RH
83,2014-07-22 13:18:57,33.613 °C,33.613 °C,51.9 %RH,51.7 %RH
84,2014-07-22 13:19:27,33.794 °C,33.794 °C,52.2 %RH,51.7 %RH
85,2014-07-22 13:19:57,33.971 °C,33.971 °C,52.2 %RH,51.2 %RH
86,2014-07-22 13:20:27,34.137 °C,34.137 °C,51.7 %RH,51.7 %RH
87,2014-07-22 13:20:57,34.312 °C,34.312 °C,51.9 %RH,48.9 %RH
88,2014-07-22 13:21:27,34.514 °C,34.514 °C,48.9 %RH,48.3 %RH
89,2014-07-22 13:21:57,34.699 °C,34.699 °C,49.4 %RH,49.4 %RH
90,2014-07-22 13:22:27,34.871 °C,34.871 °C,49.9 %RH,49.9 %RH
91,2014-07-22 13:22:57,35.019 °C,35.019 °C,49.9 %RH,48.6 %RH
92,2014-07-22 13:23:27,35.118 °C,35.118 °C,49.1 %RH,49.1 %RH
93,2014-07-22 13:23:57,35.211 °C,35.211 °C,49.9 %RH,49.1 %RH
94,2014-07-22 13:24:27,35.335 °C,35.335 °C,49.1 %RH,47.6 %RH
95,2014-07-22 13:24:57,35.480 °C,35.480 °C,47.6 %RH,47.1 %RH
96,2014-07-22 13:25:27,35.603 °C,35.603 °C,47.8 %RH,47.8 %RH
97,2014-07-22 13:25:57,35.696 °C,35.696 °C,50.4 %RH,49.4 %RH
98,2014-07-22 13:26:27,35.774 °C,35.774 °C,49.4 %RH,47.1 %RH
99,2014-07-22 13:26:57,35.827 °C,35.827 °C,48.1 %RH,47.1 %RH
100,2014-07-22 13:27:27,35.917 °C,35.917 °C,46.8 %RH,45.5 %RH
101,2014-07-22 13:27:57,36.033 °C,36.033 °C,45.8 %RH,45.5 %RH
102,2014-07-22 13:28:27,36.168 °C,36.168 °C,46.1 %RH,45.8 %RH
103,2014-07-22 13:28:57,36.312 °C,36.312 °C,46.3 %RH,46.1 %RH
104,2014-07-22 13:29:27,36.444 °C,36.444 °C,47.8 %RH,47.6 %RH
105,2014-07-22 13:29:57,36.531 °C,36.531 °C,48.1 %RH,46.6 %RH
106,2014-07-22 13:30:27,36.578 °C,36.570 °C,46.8 %RH,46.6 %RH
107,2014-07-22 13:30:57,36.599 °C,36.599 °C,47.6 %RH,47.1 %RH
108,2014-07-22 13:31:27,36.627 °C,36.627 °C,47.8 %RH,47.3 %RH
109,2014-07-22 13:31:57,36.668 °C,36.666 °C,47.3 %RH,46.3 %RH
110,2014-07-22 13:32:27,36.701 °C,36.701 °C,46.6 %RH,45.8 %RH
111,2014-07-22 13:32:57,36.745 °C,36.743 °C,45.8 %RH,44.6 %RH
112,2014-07-22 13:33:27,36.763 °C,36.739 °C,47.3 %RH,47.1 %RH
113,2014-07-22 13:33:57,36.737 °C,36.683 °C,47.8 %RH,47.6 %RH
114,2014-07-22 13:34:27,36.683 °C,36.634 °C,47.8 %RH,47.1 %RH
115,2014-07-22 13:34:57,36.652 °C,36.652 °C,47.1 %RH,46.1 %RH
116,2014-07-22 13:35:27,36.666 °C,36.650 °C,46.8 %RH,46.6 %RH
117,2014-07-22 13:35:57,36.648 °C,36.614 °C,46.8 %RH,46.6 %RH
118,2014-07-22 13:36:27,36.624 °C,36.586 °C,46.8 %RH,46.3 %RH
119,2014-07-22 13:36:57,36.591 °C,36.552 °C,47.1 %RH,47.1 %RH
120,2014-07-22 13:37:27,36.550 °C,36.488 °C,47.6 %RH,47.6 %RH
121,2014-07-22 13:37:57,36.486 °C,36.419 °C,47.8 %RH,47.8 %RH
122,2014-07-22 13:38:27,36.416 °C,36.356 °C,48.1 %RH,48.1 %RH
123,2014-07-22 13:38:57,36.353 °C,36.310 °C,48.1 %RH,48.1 %RH
124,2014-07-22 13:39:27,36.312 °C,36.300 °C,48.1 %RH,47.6 %RH
125,2014-07-22 13:39:57,36.302 °C,36.300 °C,47.6 %RH,47.3 %RH
126,2014-07-22 13:40:27,36.304 °C,36.300 °C,47.3 %RH,47.3 %RH
127,2014-07-22 13:40:57,36.346 °C,36.346 °C,47.3 %RH,46.3 %RH
128,2014-07-22 13:41:27,36.508 °C,36.508 °C,46.3 %RH,44.6 %RH
129,2014-07-22 13:41:57,36.716 °C,36.716 °C,44.8 %RH,44.1 %RH
130,2014-07-22 13:42:27,36.944 °C,36.944 °C,44.1 %RH,43.3 %RH
131,2014-07-22 13:42:57,37.165 °C,37.165 °C,43.6 %RH,43.3 %RH
132,2014-07-22 13:43:27,37.295 °C,37.293 °C,44.1 %RH,44.1 %RH
133,2014-07-22 13:43:57,37.492 °C,37.492 °C,44.1 %RH,42.4 %RH
134,2014-07-22 13:44:27,37.688 °C,37.688 °C,42.9 %RH,42.9 %RH
135,2014-07-22 13:44:57,37.786 °C,37.786 °C,43.8 %RH,43.6 %RH
136,2014-07-22 13:45:27,37.894 °C,37.894 °C,43.8 %RH,43.1 %RH
137,2014-07-22 13:45:57,38.031 °C,38.031 °C,43.1 %RH,42.4 %RH
138,2014-07-22 13:46:27,38.192 °C,38.192 °C,42.4 %RH,41.6 %RH
139,2014-07-22 13:46:57,38.379 °C,38.379 °C,41.6 %RH,40.9 %RH
140,2014-07-22 13:47:27,38.601 °C,38.601 °C,40.9 %RH,40.4 %RH
141,2014-07-22 13:47:57,38.821 °C,38.821 °C,40.4 %RH,39.9 %RH
142,2014-07-22 13:48:27,39.039 °C,39.039 °C,39.9 %RH,39.4 %RH
143,2014-07-22 13:48:57,39.262 °C,39.262 °C,39.7 %RH,39.2 %RH
144,2014-07-22 13:49:27,39.475 °C,39.475 °C,40.7 %RH,39.9 %RH
145,2014-07-22 13:49:57,39.688 °C,39.688 °C,39.9 %RH,39.2 %RH
146,2014-07-22 13:50:27,39.898 °C,39.898 °C,39.2 %RH,38.2 %RH
147,2014-07-22 13:50:57,40.106 °C,40.106 °C,38.2 %RH,37.5 %RH
148,2014-07-22 13:51:27,40.324 °C,40.324 °C,37.5 %RH,37.3 %RH
149,2014-07-22 13:51:57,40.525 °C,40.525 °C,37.5 %RH,37.0 %RH
150,2014-07-22 13:52:27,40.671 °C,40.669 °C,37.0 %RH,35.6 %RH
151,2014-07-22 13:52:57,40.765 °C,40.765 °C,36.0 %RH,35.8 %RH
152,2014-07-22 13:53:27,40.786 °C,40.784 °C,36.8 %RH,36.0 %RH
153,2014-07-22 13:53:57,40.801 °C,40.794 °C,36.5 %RH,36.3 %RH
154,2014-07-22 13:54:27,40.841 °C,40.841 °C,36.3 %RH,36.0 %RH
155,2014-07-22 13:54:57,40.908 °C,40.908 °C,36.5 %RH,36.3 %RH
156,2014-07-22 13:55:27,40.953 °C,40.948 °C,36.3 %RH,36.0 %RH
157,2014-07-22 13:55:57,40.946 °C,40.852 °C,38.2 %RH,38.2 %RH
158,2014-07-22 13:56:27,40.845 °C,40.664 °C,39.9 %RH,39.9 %RH
159,2014-07-22 13:56:57,40.655 °C,40.426 °C,47.1 %RH,47.1 %RH
160,2014-07-22 13:57:27,40.417 °C,40.127 °C,48.9 %RH,48.1 %RH
161,2014-07-22 13:57:57,40.116 °C,39.805 °C,50.9 %RH,49.1 %RH
162,2014-07-22 13:58:27,39.791 °C,39.451 °C,50.1 %RH,45.3 %RH
163,2014-07-22 13:58:57,39.444 °C,39.180 °C,47.1 %RH,46.1 %RH
164,2014-07-22 13:59:27,39.173 °C,39.032 °C,47.3 %RH,47.3 %RH
165,2014-07-22 13:59:57,39.015 °C,38.800 °C,50.4 %RH,50.1 %RH
166,2014-07-22 14:00:27,38.794 °C,38.524 °C,51.2 %RH,47.3 %RH
167,2014-07-22 14:00:57,38.514 °C,38.238 °C,48.6 %RH,47.8 %RH
168,2014-07-22 14:01:27,38.230 °C,37.978 °C,48.9 %RH,47.3 %RH
169,2014-07-22 14:01:57,37.971 °C,37.769 °C,50.4 %RH,49.9 %RH
170,2014-07-22 14:02:27,37.761 °C,37.588 °C,50.6 %RH,49.4 %RH
171,2014-07-22 14:02:57,37.585 °C,37.427 °C,49.4 %RH,48.6 %RH
172,2014-07-22 14:03:27,37.426 °C,37.293 °C,50.4 %RH,49.4 %RH
173,2014-07-22 14:03:57,37.290 °C,37.168 °C,49.9 %RH,48.1 %RH
174,2014-07-22 14:04:27,37.165 °C,37.044 °C,50.1 %RH,49.6 %RH
175,2014-07-22 14:04:57,37.041 °C,36.940 °C,51.4 %RH,50.4 %RH
176,2014-07-22 14:05:27,36.936 °C,36.834 °C,50.9 %RH,50.4 %RH
177,2014-07-22 14:05:57,36.829 °C,36.727 °C,50.4 %RH,49.6 %RH
178,2014-07-22 14:06:27,36.724 °C,36.643 °C,53.4 %RH,53.4 %RH
179,2014-07-22 14:06:57,36.645 °C,36.576 °C,54.7 %RH,53.7 %RH
180,2014-07-22 14:07:27,36.573 °C,36.503 °C,53.7 %RH,51.9 %RH
181,2014-07-22 14:07:57,36.499 °C,36.447 °C,56.2 %RH,53.2 %RH
182,2014-07-22 14:08:27,36.442 °C,36.385 °C,52.7 %RH,50.1 %RH
183,2014-07-22 14:08:57,36.387 °C,36.341 °C,49.9 %RH,47.3 %RH
184,2014-07-22 14:09:27,36.339 °C,36.294 °C,47.8 %RH,47.1 %RH
185,2014-07-22 14:09:57,36.292 °C,36.242 °C,47.6 %RH,47.6 %RH
186,2014-07-22 14:10:27,36.243 °C,36.188 °C,48.3 %RH,46.6 %RH
187,2014-07-22 14:10:57,36.188 °C,36.131 °C,47.6 %RH,47.3 %RH
188,2014-07-22 14:11:27,36.129 °C,36.066 °C,49.4 %RH,49.4 %RH
189,2014-07-22 14:11:57,36.063 °C,36.014 °C,50.1 %RH,49.9 %RH
190,2014-07-22 14:12:27,36.016 °C,35.977 °C,51.9 %RH,48.6 %RH
191,2014-07-22 14:12:57,35.973 °C,35.947 °C,48.6 %RH,47.8 %RH
