,Time,1,2,3,4,5,6
S/N,,720319,720319,720319,720319,720319,720319
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001
Property,,Maximum Temperature,Temperature,Minimum Temperature,Maximum Humidity,Humidity,Minimum Humidity
869,2014-07-24 17:30:46,48.695 °C,48.408 °C,48.408 °C,11.4 %RH,11.1 %RH,11.1 %RH
870,2014-07-24 17:31:16,48.392 °C,48.095 °C,48.095 °C,11.1 %RH,10.9 %RH,10.7 %RH
871,2014-07-24 17:31:46,48.083 °C,47.775 °C,47.775 °C,10.9 %RH,10.9 %RH,10.9 %RH
872,2014-07-24 17:32:16,47.760 °C,47.448 °C,47.448 °C,11.1 %RH,10.9 %RH,10.9 %RH
873,2014-07-24 17:32:46,47.436 °C,47.107 °C,47.107 °C,11.4 %RH,11.4 %RH,11.1 %RH
874,2014-07-24 17:33:16,47.096 °C,46.763 °C,46.763 °C,11.6 %RH,11.6 %RH,11.4 %RH
875,2014-07-24 17:33:46,46.752 °C,46.417 °C,46.417 °C,11.6 %RH,11.6 %RH,11.4 %RH
876,2014-07-24 17:34:16,46.398 °C,46.062 °C,46.062 °C,11.6 %RH,11.4 %RH,11.4 %RH
877,2014-07-24 17:34:46,46.051 °C,45.698 °C,45.698 °C,11.6 %RH,11.6 %RH,11.4 %RH
878,2014-07-24 17:35:16,45.681 °C,45.325 °C,45.325 °C,11.6 %RH,11.6 %RH,11.4 %RH
879,2014-07-24 17:35:46,45.312 °C,44.951 °C,44.951 °C,11.8 %RH,11.8 %RH,11.6 %RH
880,2014-07-24 17:36:16,44.938 °C,44.572 °C,44.572 °C,12.2 %RH,12.0 %RH,11.8 %RH
881,2014-07-24 17:36:46,44.564 °C,44.201 °C,44.201 °C,13.8 %RH,13.8 %RH,12.2 %RH
882,2014-07-24 17:37:16,44.188 °C,43.842 °C,43.842 °C,16.9 %RH,16.9 %RH,13.8 %RH
883,2014-07-24 17:37:46,43.823 °C,43.497 °C,43.497 °C,19.3 %RH,19.3 %RH,16.9 %RH
884,2014-07-24 17:38:16,43.483 °C,43.192 °C,43.192 °C,22.9 %RH,22.7 %RH,19.3 %RH
885,2014-07-24 17:38:46,43.181 °C,42.920 °C,42.920 °C,23.6 %RH,23.6 %RH,22.9 %RH
886,2014-07-24 17:39:16,42.913 °C,42.684 °C,42.684 °C,25.3 %RH,25.0 %RH,23.9 %RH
887,2014-07-24 17:39:46,42.680 °C,42.475 °C,42.475 °C,25.3 %RH,25.3 %RH,24.8 %RH
888,2014-07-24 17:40:16,42.465 °C,42.264 °C,42.264 °C,25.7 %RH,24.6 %RH,24.6 %RH
889,2014-07-24 17:40:46,42.261 °C,42.105 °C,42.105 °C,25.5 %RH,25.3 %RH,24.3 %RH
890,2014-07-24 17:41:16,42.104 °C,41.972 °C,41.972 °C,26.2 %RH,26.2 %RH,25.5 %RH
891,2014-07-24 17:41:46,41.974 °C,41.851 °C,41.851 °C,26.9 %RH,26.9 %RH,26.2 %RH
892,2014-07-24 17:42:16,41.849 °C,41.745 °C,41.745 °C,27.6 %RH,27.6 %RH,26.9 %RH
893,2014-07-24 17:42:46,41.743 °C,41.651 °C,41.648 °C,28.0 %RH,28.0 %RH,27.3 %RH
894,2014-07-24 17:43:16,41.642 °C,41.554 °C,41.554 °C,28.3 %RH,28.3 %RH,27.8 %RH
895,2014-07-24 17:43:46,41.554 °C,41.466 °C,41.466 °C,28.7 %RH,28.7 %RH,28.3 %RH
896,2014-07-24 17:44:16,41.466 °C,41.388 °C,41.388 °C,29.0 %RH,28.3 %RH,28.0 %RH
897,2014-07-24 17:44:46,41.383 °C,41.304 °C,41.304 °C,28.0 %RH,28.0 %RH,27.8 %RH
898,2014-07-24 17:45:16,41.302 °C,41.228 °C,41.228 °C,28.7 %RH,28.7 %RH,28.0 %RH
899,2014-07-24 17:45:46,41.230 °C,41.163 °C,41.161 °C,29.4 %RH,29.4 %RH,28.5 %RH
