,Time,1,2,3,4,5,6
S/N,,720319,720319,720319,720319,720319,720319
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception #1,Light Interception #1,Light Interception #1,Light Interception #1,Light Interception #1,Light Interception #1
Property,,Maximum Temperature,Temperature,Minimum Temperature,Maximum Humidity,Humidity,Minimum Humidity
1,2014-07-23 12:40:49,,23.803 °C,,,46.2 %RH,
2,2014-07-23 12:41:19,23.810 °C,23.807 °C,23.795 °C,46.7 %RH,46.2 %RH,46.2 %RH
3,2014-07-23 12:41:49,23.807 °C,23.804 °C,23.795 °C,46.7 %RH,46.7 %RH,46.2 %RH
4,2014-07-23 12:42:19,23.805 °C,23.798 °C,23.797 °C,47.2 %RH,47.2 %RH,46.2 %RH
5,2014-07-23 12:42:49,23.801 °C,23.800 °C,23.792 °C,47.5 %RH,46.7 %RH,46.5 %RH
6,2014-07-23 12:43:19,23.798 °C,23.794 °C,23.788 °C,48.5 %RH,48.5 %RH,46.5 %RH
7,2014-07-23 12:43:49,23.819 °C,23.816 °C,23.795 °C,48.2 %RH,46.2 %RH,46.2 %RH
8,2014-07-23 12:44:19,23.824 °C,23.823 °C,23.817 °C,46.5 %RH,46.2 %RH,46.2 %RH
9,2014-07-23 12:44:49,23.829 °C,23.826 °C,23.823 °C,47.2 %RH,47.2 %RH,46.2 %RH
10,2014-07-23 12:45:19,23.827 °C,23.826 °C,23.823 °C,54.3 %RH,54.3 %RH,47.7 %RH
11,2014-07-23 12:45:49,23.826 °C,23.803 °C,23.803 °C,58.6 %RH,58.6 %RH,54.3 %RH
12,2014-07-23 12:46:19,23.804 °C,23.768 °C,23.768 °C,59.4 %RH,59.4 %RH,58.9 %RH
13,2014-07-23 12:46:49,23.765 °C,23.727 °C,23.727 °C,59.9 %RH,59.6 %RH,59.4 %RH
14,2014-07-23 12:47:19,23.727 °C,23.694 °C,23.694 °C,60.2 %RH,60.2 %RH,59.6 %RH
15,2014-07-23 12:47:49,23.692 °C,23.659 °C,23.659 °C,60.7 %RH,60.7 %RH,60.2 %RH
16,2014-07-23 12:48:19,23.659 °C,23.630 °C,23.628 °C,61.2 %RH,61.0 %RH,60.4 %RH
17,2014-07-23 12:48:49,23.625 °C,23.601 °C,23.596 °C,61.5 %RH,61.5 %RH,61.0 %RH
18,2014-07-23 12:49:19,23.601 °C,23.572 °C,23.572 °C,62.3 %RH,62.3 %RH,61.5 %RH
19,2014-07-23 12:49:49,23.570 °C,23.544 °C,23.544 °C,62.5 %RH,62.5 %RH,62.0 %RH
20,2014-07-23 12:50:19,23.546 °C,23.521 °C,23.521 °C,62.8 %RH,62.3 %RH,62.3 %RH
21,2014-07-23 12:50:49,23.522 °C,23.502 °C,23.502 °C,62.3 %RH,61.8 %RH,61.8 %RH
22,2014-07-23 12:51:19,23.501 °C,23.485 °C,23.485 °C,61.8 %RH,61.2 %RH,61.2 %RH
23,2014-07-23 12:51:49,23.486 °C,23.470 °C,23.469 °C,61.2 %RH,61.0 %RH,61.0 %RH
24,2014-07-23 12:52:19,23.469 °C,23.451 °C,23.451 °C,61.2 %RH,60.7 %RH,60.7 %RH
25,2014-07-23 12:52:49,23.451 °C,23.441 °C,23.440 °C,61.0 %RH,60.7 %RH,60.7 %RH
26,2014-07-23 12:53:19,23.441 °C,23.424 °C,23.424 °C,60.7 %RH,60.4 %RH,60.4 %RH
27,2014-07-23 12:53:49,23.427 °C,23.412 °C,23.411 °C,60.7 %RH,60.4 %RH,60.4 %RH
28,2014-07-23 12:54:19,23.414 °C,23.399 °C,23.399 °C,60.4 %RH,60.2 %RH,60.2 %RH
29,2014-07-23 12:54:49,23.401 °C,23.388 °C,23.388 °C,60.2 %RH,60.2 %RH,60.2 %RH
30,2014-07-23 12:55:19,23.388 °C,23.376 °C,23.375 °C,60.2 %RH,60.2 %RH,60.2 %RH
31,2014-07-23 12:55:49,23.376 °C,23.363 °C,23.363 °C,60.2 %RH,60.2 %RH,59.9 %RH
32,2014-07-23 12:56:19,23.364 °C,23.353 °C,23.351 °C,60.2 %RH,60.2 %RH,60.2 %RH
33,2014-07-23 12:56:49,23.353 °C,23.338 °C,23.337 °C,60.2 %RH,60.2 %RH,59.9 %RH
34,2014-07-23 12:57:19,23.340 °C,23.327 °C,23.325 °C,60.2 %RH,60.2 %RH,59.9 %RH
35,2014-07-23 12:57:49,23.327 °C,23.315 °C,23.315 °C,60.2 %RH,60.2 %RH,59.9 %RH
