,Time,1,2,3,4
S/N,,720319,720319,720319,720319
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception #1,Light Interception #1,Light Interception #1,Light Interception #1
Property,,Maximum Temperature,Temperature,Maximum Humidity,Humidity
1,2014-07-22 12:36:43,,22.943 °C,,48.7 %RH
2,2014-07-22 12:37:13,22.943 °C,22.937 °C,49.0 %RH,49.0 %RH
3,2014-07-22 12:37:43,22.936 °C,22.923 °C,49.0 %RH,49.0 %RH
4,2014-07-22 12:38:13,22.923 °C,22.911 °C,49.0 %RH,48.7 %RH
5,2014-07-22 12:38:43,22.910 °C,22.899 °C,49.0 %RH,48.7 %RH
6,2014-07-22 12:39:13,22.897 °C,22.884 °C,49.0 %RH,49.0 %RH
7,2014-07-22 12:39:43,22.885 °C,22.872 °C,49.0 %RH,48.7 %RH
8,2014-07-22 12:40:13,22.870 °C,22.859 °C,49.0 %RH,48.7 %RH
9,2014-07-22 12:40:43,22.857 °C,22.847 °C,51.0 %RH,51.0 %RH
10,2014-07-22 12:41:13,22.850 °C,22.840 °C,51.8 %RH,51.5 %RH
11,2014-07-22 12:41:43,22.843 °C,22.833 °C,51.5 %RH,51.3 %RH
12,2014-07-22 12:42:13,22.836 °C,22.829 °C,51.5 %RH,51.0 %RH
13,2014-07-22 12:42:43,22.830 °C,22.824 °C,51.0 %RH,51.0 %RH
14,2014-07-22 12:43:13,22.833 °C,22.833 °C,55.1 %RH,55.1 %RH
15,2014-07-22 12:43:43,22.839 °C,22.834 °C,56.6 %RH,55.8 %RH
16,2014-07-22 12:44:13,22.842 °C,22.834 °C,55.6 %RH,54.3 %RH
17,2014-07-22 12:44:43,22.934 °C,22.934 °C,62.5 %RH,62.5 %RH
18,2014-07-22 12:45:13,23.289 °C,23.289 °C,71.2 %RH,71.2 %RH
19,2014-07-22 12:45:43,23.945 °C,23.945 °C,71.7 %RH,62.5 %RH
20,2014-07-22 12:46:13,24.873 °C,24.873 °C,62.5 %RH,56.3 %RH
21,2014-07-22 12:46:43,25.692 °C,25.692 °C,56.3 %RH,53.8 %RH
22,2014-07-22 12:47:13,26.630 °C,26.630 °C,53.8 %RH,49.0 %RH
23,2014-07-22 12:47:43,27.488 °C,27.488 °C,49.8 %RH,48.0 %RH
24,2014-07-22 12:48:13,28.472 °C,28.472 °C,48.0 %RH,44.7 %RH
25,2014-07-22 12:48:43,29.470 °C,29.470 °C,44.7 %RH,42.8 %RH
